time(seconds),# activatory proteins,# repressory proteins,# Q proteins,# Qc proteins
28830,224.6047412,87.36498464,3.61E-24,100.5248771
28860,219.5126076,85.62781083,1.86E-24,100.5260511
28890,214.5770549,83.9236174,9.61E-25,100.5279828
28920,209.7941941,82.25207683,4.96E-25,100.5265432
28950,205.1597054,80.61285148,2.56E-25,100.5272237
28980,200.668928,79.00549646,1.32E-25,100.52819
29010,196.3199234,77.42957842,6.81E-26,100.5290283
29040,192.1082311,75.88473922,3.51E-26,100.5314385
29070,188.0295094,74.37054607,1.81E-26,100.5324975
29100,184.0801449,72.88651376,9.35E-27,100.5308701
29130,180.2563796,71.43222089,4.82E-27,100.5320535
29160,176.5542349,70.00722968,2.49E-27,100.5346632
29190,172.969896,68.61105366,1.28E-27,100.5350568
29220,169.4996121,67.24324224,6.62E-28,100.5350585
29250,166.1393694,65.90333625,3.41E-28,100.5342109
29280,162.8850873,64.59072127,1.76E-28,100.5367856
29310,159.7343679,63.30526947,9.09E-29,100.5372091
29340,156.6825915,62.04629102,4.69E-29,100.5378685
29370,153.7267277,60.81339001,2.42E-29,100.5396583
29400,150.8633848,59.60603417,1.25E-29,100.539954
29430,148.0887118,58.42372057,6.44E-30,100.5415242
29460,145.3990798,57.26606578,3.32E-30,100.53952
29490,142.7919401,56.13255423,1.71E-30,100.5406547
29520,140.264151,55.02273442,8.84E-31,100.5431064
29550,137.8121497,53.93619382,4.56E-31,100.5426468
29580,135.4328968,52.87242937,2.35E-31,100.5450658
29610,133.1236991,51.83103706,1.21E-31,100.5438529
29640,130.8820002,50.81155651,6.26E-32,100.5454786
29670,128.7053721,49.81352883,3.23E-32,100.5468434
29700,126.5910492,48.83655253,1.67E-32,100.547361
29730,124.535119,47.88009394,8.60E-33,100.5489891
29760,122.5375341,46.94402213,4.44E-33,100.5498897
29790,120.5933738,46.02768769,2.29E-33,100.5537019
29820,118.7022028,45.13076137,1.18E-33,100.550591
29850,116.8623545,44.25279113,6.09E-34,100.5503313
29880,115.0684324,43.3934442,3.14E-34,100.5564241
29910,113.3216773,42.55228665,1.62E-34,100.5558039
29940,111.6201787,41.7289593,8.37E-35,100.5548059
29970,109.9586068,40.92309092,4.32E-35,100.5577113
30000,108.3382685,40.13429947,2.23E-35,100.5596545
30030,106.7580701,39.36224802,1.15E-35,100.5623505
30060,105.2118289,38.60655531,5.93E-36,100.5648052
30090,103.7041125,37.86690082,3.06E-36,100.5651844
30120,102.2279304,37.14292567,1.58E-36,100.5663844
30150,100.785418,36.43430411,8.14E-37,100.5675926
